818,6.18%
819,46.95%
820,8.14%
821,48.60%
822,9.39%
823,48.90%
824,10.57%
825,49.68%
826,13.64%
827,49.17%
828,
829,Tidehunter
830,6.18%
831,52.24%
832,7.68%
833,48.95%
834,7.72%
835,47.55%
836,6.32%
837,50.61%
838,4.65%
839,50.96%
840,
841,Lich
842,6.13%
843,48.87%
844,6.31%
845,47.83%
846,6.21%
847,47.61%
848,5.80%
849,47.37%
850,4.37%
851,46.15%
852,
853,Dark Willow
854,6.06%
855,44.81%
856,7.30%
857,46.04%
858,8.12%
859,47.90%
860,9.18%
861,47.79%
862,8.90%
863,48.28%
864,
865,Meepo
866,5.94%
867,56.88%
868,5.58%
869,57.43%
870,5.50%
871,55.73%
872,4.79%
873,54.73%
874,4.61%
875,56.40%
876,
877,Abaddon
878,5.92%
879,54.73%
880,7.56%
881,54.62%
882,9.45%
883,53.44%
884,11.93%
885,52.68%
886,16.60%
887,51.68%
888,
889,Disruptor
890,5.80%
891,48.06%
892,7.43%
893,49.77%
894,8.15%
895,50.19%
896,8.62%
897,49.82%
898,8.81%
899,48.71%
900,
901,Tiny
902,5.70%
903,40.71%
904,5.80%
905,42.77%
906,6.71%
907,43.99%
908,8.54%
909,45.63%
910,13.72%
911,47.29%
912,
913,Pangolier
914,5.40%
915,47.90%
916,6.76%
917,48.34%
918,8.81%
919,48.74%
920,11.90%
921,49.93%
922,14.97%
923,49.42%
924,
925,Keeper of the Light
926,5.38%
927,49.83%
928,5.68%
929,48.91%
930,5.44%
931,47.39%
932,4.62%
933,47.46%
934,3.27%
935,46.87%
936,
937,Death Prophet
938,5.32%
939,48.36%
940,5.26%
941,49.97%
942,4.99%
943,50.91%
944,4.65%
945,48.75%
946,4.92%
947,49.17%
948,
949,Undying
950,5.13%
951,53.76%
952,5.32%
953,52.59%
954,4.93%
955,51.31%
956,4.33%
957,50.51%
958,4.18%
959,48.67%
960,
961,Naga Siren
962,5.07%
963,54.68%
964,5.19%
965,52.82%
966,5.34%
967,52.23%
968,6.17%
969,52.66%
970,8.43%
971,52.66%
972,
973,Enigma
974,5.03%
975,50.32%
976,5.84%
977,49.88%
978,6.09%
979,52.13%
980,6.05%
981,52.54%
982,6.76%
983,54.09%
984,
985,Tinker
986,4.98%
987,43.16%
988,5.59%
989,46.83%
990,5.57%
991,47.41%
992,5.39%
993,46.74%
994,4.10%
995,47.95%
996,
997,Winter Wyvern
998,4.76%
999,48.12%
1000,5.85%
1001,46.40%
1002,6.81%
1003,46.58%
1004,7.27%
1005,50.38%
1006,10.98%
1007,52.21%
1008,
1009,Timbersaw
1010,4.64%
1011,43.84%
1012,5.92%
1013,36.12%
1014,6.43%
1015,31.42%
1016,4.38%
1017,40.55%
1018,3.12%
1019,46.71%
1020,
1021,Centaur Warrunner
1022,4.61%
1023,49.19%
1024,5.31%
1025,48.50%
1026,5.29%
1027,49.40%
1028,5.21%
1029,49.55%
1030,5.63%
1031,48.53%
1032,
1033,Terrorblade
1034,4.60%
1035,46.33%
1036,5.10%
1037,46.04%
1038,5.28%
1039,47.77%
1040,5.26%
1041,46.38%
1042,5.18%
1043,45.80%
1044,
1045,Phoenix
1046,4.54%
1047,48.73%
1048,6.13%
1049,52.17%
1050,7.64%
1051,50.44%
1052,8.34%
1053,49.77%
1054,7.29%
1055,48.33%
1056,
1057,Treant Protector
1058,4.51%
1059,46.81%
1060,4.73%
1061,47.70%
1062,4.85%
1063,47.67%
1064,4.92%
